No of Trainings | Percentage0th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
1th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
2th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
3th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
4th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
5th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
6th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
7th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
8th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
9th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
10th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
11th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
12th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
13th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
14th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
15th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
16th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
17th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
18th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
19th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
20th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
21th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
22th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
23th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
24th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
25th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
26th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
27th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
28th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
29th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
